timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730502102144,150,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-30,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,150,0,77
1730502102295,392,HTTP Request of Login Page-1,200,OK,Test_user 1-30,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,296,0,0
1730502102387,539,HTTP Request of Login Page,200,OK,Test_user 1-31,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,126,0,70
1730502102387,126,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-31,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,126,0,70
1730502102513,413,HTTP Request of Login Page-1,200,OK,Test_user 1-31,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,317,0,0
1730502102719,712,HTTP Request of Login Page,200,OK,Test_user 1-32,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,135,0,62
1730502102719,135,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-32,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,135,0,62
1730502102856,575,HTTP Request of Login Page-1,200,OK,Test_user 1-32,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,515,0,133
1730502102930,612,HTTP Request of Login Page,200,OK,Test_user 1-31,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,132,0,75
1730502102930,132,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-31,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,132,0,75
1730502103062,480,HTTP Request of Login Page-1,200,OK,Test_user 1-31,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,411,0,0
1730502103437,628,HTTP Request of Login Page,200,OK,Test_user 1-32,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,122,0,64
1730502103437,122,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-32,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,122,0,64
1730502103559,506,HTTP Request of Login Page-1,200,OK,Test_user 1-32,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,390,0,0
1730502103720,762,HTTP Request of Login Page,200,OK,Test_user 1-33,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,130,0,73
1730502103720,130,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-33,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,130,0,73
1730502103852,630,HTTP Request of Login Page-1,200,OK,Test_user 1-33,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,533,0,158
1730502104072,553,HTTP Request of Login Page,200,OK,Test_user 1-32,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,125,0,69
1730502104072,125,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-32,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,125,0,69
1730502104197,428,HTTP Request of Login Page-1,200,OK,Test_user 1-32,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,340,0,0
1730502104485,618,HTTP Request of Login Page,200,OK,Test_user 1-33,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,137,0,71
1730502104485,137,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-33,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,137,0,71
1730502104622,481,HTTP Request of Login Page-1,200,OK,Test_user 1-33,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,413,0,0
1730502104720,709,HTTP Request of Login Page,200,OK,Test_user 1-34,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,138,0,69
1730502104720,138,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-34,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,138,0,69
1730502104860,569,HTTP Request of Login Page-1,200,OK,Test_user 1-34,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,509,0,167
1730502105107,686,HTTP Request of Login Page,200,OK,Test_user 1-33,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,3,3,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,125,0,70
1730502105107,125,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-33,,true,,291,237,3,3,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,125,0,70
1730502105232,561,HTTP Request of Login Page-1,200,OK,Test_user 1-33,text,true,,34946,237,3,3,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,382,0,0
1730502105432,687,HTTP Request of Login Page,200,OK,Test_user 1-34,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,130,0,72
1730502105432,130,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-34,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,130,0,72
1730502105562,557,HTTP Request of Login Page-1,200,OK,Test_user 1-34,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,464,0,0
