timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730499576376,401,HTTP Request of Login Page-1,200,OK,Test_user 1-79,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,345,0,0
1730499576726,488,HTTP Request of Login Page,200,OK,Test_user 1-80,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,128,0,72
1730499576726,128,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-80,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,128,0,72
1730499576854,360,HTTP Request of Login Page-1,200,OK,Test_user 1-80,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,305,0,0
1730499576961,696,HTTP Request of Login Page,200,OK,Test_user 1-81,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,128,0,72
1730499576961,128,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-81,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,128,0,72
1730499577090,567,HTTP Request of Login Page-1,200,OK,Test_user 1-81,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,515,0,136
1730499577221,576,HTTP Request of Login Page,200,OK,Test_user 1-80,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,118,0,62
1730499577221,118,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-80,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,118,0,62
1730499577339,458,HTTP Request of Login Page-1,200,OK,Test_user 1-80,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,400,0,0
1730499577660,605,HTTP Request of Login Page,200,OK,Test_user 1-81,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,125,0,63
1730499577660,125,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-81,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,125,0,63
